PaperId	RecommendedPaperId	Method	StudyScore	StudyRankByMethod	StudyRankGlobal	CooccurrenceCnt	Similarity	EmbSimilarity	TfIdfSimilarity	ComputedRankByMethod	ComputedRankGlobal
18494276	17674749	Content	5	1	1	0	0.7916639	0.828174233	0.706473	5	5
18494276	2125186722	Content	2	6	6	0	0.7187478	0.7824378	0.570137739	7	7
18494276	150552463	Content	2	6	6	0	0.685529649	0.764297068	0.5017391	10	10
18494276	2723193378	Content	2	6	6	0	0.7505327	0.815668046	0.59855026	6	6
18494276	2296415464	Content	1	9	9	0	0.7178965	0.8041286	0.5166884	8	8
18494276	2198428324	Content	1	9	9	0	0.7086419	0.730629146	0.657338262	9	9
21582142	2107621595	Content	5	1	1	0	0.6651936	0.8240848	0.294447482	5	5
21582142	2097990792	Content	5	1	1	0	0.7117857	0.8481712	0.3935529	3	3
21582142	1515713902	Content	5	1	1						
21582142	2287741723	Content	3	4	4						
21582142	2887671763	Content	3	4	4	0	0.7614011	0.861962438	0.526757956	1	1
21582142	2840037441	Content	2	6	6	0	0.652641952	0.8194646	0.2633891	8	8
21582142	2833633513	Content	2	6	6	0	0.652653158	0.818090737	0.266632169	7	7
21582142	2863718316	Content	2	6	6	0	0.6594392	0.823874652	0.275756568	6	6
21582142	2373799034	Content	2	6	6						
21582142	2880206541	Content	1	10	10	0	0.649779737	0.815203547	0.263790935	9	9
22750329	2008427387	Behavior	1	1	1	2	0.6157376	0	0	9	
22750329	181834233	Behavior	1	1	1	2	0.6157376	0	0	8	
22750329	2003807846	Behavior	1	1	1	2	0.6157376	0	0	7	
22750329	1515761040	Behavior	1	1	1	2	0.6157376	0	0	6	
22750329	98989770	Behavior	1	1	1	2	0.6157376	0	0	4	10
22750329	1530120774	Behavior	1	1	1	2	0.6157376	0	0	10	
22750329	2152226783	Behavior				3	0.6550128	0	0	1	3
22750329	2116871370	Behavior				2	0.6157376	0	0	5	
22750329	2109572691	Behavior				2	0.6157376	0	0	3	9
22750329	2103230119	Behavior				2	0.6157376	0	0	2	8
22750329	373171959	Content	1	1	1	0	0.62000984	0.8179674	0.158108786	6	7
22750329	1994903932	Content	1	1	1	0	0.637506545	0.836086333	0.174153775	4	5
22750329	1929767276	Content	1	1	1	0	0.7339394	0.837405443	0.492518634	1	1
22750329	2092493253	Content	1	1	1	0	0.602558732	0.814409852	0.10823942	7	
22750329	2045178266	Content	1	1	1	0	0.639693737	0.84367466	0.163738176	3	4
22750329	2389571967	Content				0	0.6341904	0.848677933	0.133719355	5	6
22750329	2560107133	Content				0	0.5930524	0.81665957	0.07130234	10	
22750329	2349880780	Content				0	0.6758906	0.8240887	0.330095232	2	2
22750329	2290717642	Content				0	0.5970166	0.8115086	0.09653519	9	
22750329	2347787801	Content				0	0.6023052	0.8348911	0.0596047156	8	
52069723	2121973264	Behavior	5	1	1	4	0.7006562	0	0	1	
52069723	1495679096	Behavior	5	1	1	2	0.6157376	0	0	4	
52069723	1975301756	Behavior	5	1	1	2	0.6157376	0	0	3	
52069723	2071229642	Behavior	5	1	1	4	0.7006562	0	0	2	
52069723	1517348348	Behavior	4	5	10	2	0.6157376	0	0	6	
52069723	2115086266	Behavior	4	5	10	2	0.6157376	0	0	5	
52069723	2130813098	Behavior	4	5	10	2	0.6157376	0	0	9	
52069723	2023699591	Behavior	3	8	15	2	0.6157376	0	0	8	
52069723	96504731	Behavior	2	9	19	2	0.6157376	0	0	10	
52069723	604181985	Behavior	1	10	20	2	0.6157376	0	0	7	
52069723	1564773804	Content	5	1	1	0	0.8122575	0.9372482	0.5206128	5	5
52069723	1631909651	Content	5	1	1	0	0.8178358	0.9460845	0.5185888	3	3
52069723	1873772142	Content	5	1	1	0	0.8046082	0.9359274	0.49819687	10	10
52069723	2114887563	Content	5	1	1	0	0.8133066	0.9433338	0.5099098	4	4
52069723	2097383096	Content	5	1	1	0	0.807588339	0.9396305	0.4994899	7	7
52069723	2141568844	Content	4	6	10	0	0.8263982	0.9416048	0.557582736	2	2
52069723	2162967835	Content	4	6	10	0	0.8070817	0.933266759	0.512649834	8	8
52069723	1885584773	Content	3	8	15	0	0.8110838	0.9402327	0.509736359	6	6
52069723	165971110	Content	3	8	15	0	0.8465324	0.9569707	0.588843	1	1
52069723	2765475970	Content	3	8	15	0	0.806283	0.934572935	0.5069398	9	9
56381253	17674749	Content	5	1	1	0	0.8069748	0.840465069	0.728830934	5	5
56381253	139707518	Content	5	1	1	0	0.8772975	0.9206337	0.776179731	1	1
56381253	150590437	Content	5	1	1	0	0.8625647	0.9025378	0.769294	2	2
56381253	18494276	Content	5	1	1	0	0.815276	0.8626895	0.704644561	3	3
56381253	2398455998	Content	5	1	1	0	0.8097192	0.8661903	0.677953243	4	4
56381253	2723193378	Content	2	6	6	0	0.7670939	0.8312087	0.617492735	6	6
56381253	2125186722	Content	2	6	6	0	0.7605084	0.834363	0.588181	7	7
56381253	2005383875	Content	2	6	6	0	0.712425947	0.790492237	0.530271351	10	10
56381253	2198428324	Content	1	9	9	0	0.7343225	0.758400142	0.678141236	9	9
56381253	2296415464	Content	1	9	9	0	0.7552763	0.850520432	0.533040166	8	8
63199733	2103088651	Behavior	5	1	1	20	0.9987637	0	0	6	6
63199733	2166323020	Behavior	5	1	1	16	0.993935764	0	0	10	10
63199733	2150045067	Behavior	5	1	1	22	0.9994437	0	0	4	4
63199733	2099556653	Behavior	4	4	4	25	0.999832332	0	0	2	2
63199733	1985749074	Behavior	4	4	4	49	1	0	0	1	1
63199733	1689991769	Behavior	4	4	4	21	0.9991706	0	0	5	5
63199733	1991656460	Behavior	4	4	4	19	0.998157859	0	0	7	7
63199733	2016563917	Behavior	4	4	4	17	0.9959187	0	0	9	9
63199733	1991942377	Behavior	4	4	4	17	0.9959187	0	0	8	8
63199733	2044950274	Behavior	3	10	10	23	0.999627	0	0	3	3
63199733	2183654259	Content	3	1	10	0	0.838727534	0.9141964	0.662633657	2	
63199733	2503782811	Content	3	1	10	0	0.8373456	0.941087	0.5952824	3	
63199733	2060584944	Content	3	1	10	0	0.842713237	0.9276046	0.6446333	1	
63199733	2069763644	Content	3	1	10						
63199733	195920980	Content	2	5	15	0	0.8249443	0.9086315	0.629674256	6	
63199733	1434746400	Content	2	5	15						
63199733	2211239296	Content	2	5	15						
63199733	2301469396	Content	2	5	15	0	0.8247653	0.924448669	0.5921708	8	
63199733	2743223287	Content	2	5	15	0	0.822489858	0.9132775	0.61065197	10	
63199733	2073743819	Content	1	10	20	0	0.8280344	0.9085489	0.640167356	5	
68340630	1946620893	Behavior	5	1	1	5	0.75	0	0	5	
68340630	2103972604	Behavior	5	1	1	6	0.7993438	0	0	3	9
68340630	2138019504	Behavior	5	1	1	7	0.8449872	0	0	1	6
68340630	2164278908	Behavior	5	1	1	5	0.75	0	0	7	
68340630	2296319761	Behavior	5	1	1	5	0.75	0	0	6	
68340630	2113328646	Behavior	5	1	1	4	0.7006562	0	0	8	
68340630	1994309289	Behavior	5	1	1	4	0.7006562	0	0	9	
68340630	2135046866	Behavior	5	1	1	5	0.75	0	0	4	
68340630	2126607811	Behavior	5	1	1	4	0.7006562	0	0	10	
68340630	2100556411	Behavior	5	1	1	6	0.7993438	0	0	2	8
68340630	2074465099	Content	5	1	1	0	0.7810907	0.8444401	0.6332753	10	
68340630	1992750673	Content	4	2	12	0	0.864154935	0.9110922	0.7546347	4	4
68340630	2580722428	Content	4	2	12	0	0.7836633	0.848941	0.6313486	9	
68340630	2522005626	Content	4	2	12	0	0.8751888	0.9158471	0.780319452	2	2
68340630	129962040	Content	4	2	12						
68340630	2768232237	Content	4	2	12	0	0.8665041	0.9061053	0.7741013	3	3
68340630	2580338200	Content	1	7	17	0	0.7858679	0.841568232	0.6559006	8	
68340630	2096357579	Content	1	7	17	0	0.8538165	0.9127143	0.7163883	5	5
68340630	90120446	Content	1	7	17	0	0.804073751	0.8344664	0.7331575	6	7
68340630	2056749006	Content	1	7	17	0	0.888520837	0.9322844	0.7864058	1	1
69268097	2130031070	Content	4	1	1						
69268097	2003800060	Content	4	1	1						
69268097	2069618935	Content	4	1	1						
69268097	2017338566	Content	3	4	4						
69268097	2110616156	Content	3	4	4						
69268097	2122078051	Content	3	4	4						
69268097	2542444337	Content	3	4	4						
69268097	2130018095	Content	2	8	8						
69268097	136568931	Content	2	8	8						
69268097	2369639714	Content	2	8	8						
77526419	161206032	Behavior	5	1	1	2	0.6157376	0	0	1	
77526419	1728639344	Behavior	5	1	1	2	0.6157376	0	0	2	
77526419	1584093612	Behavior	5	1	1	2	0.6157376	0	0	3	
77526419	2586955304	Content	2	1	4	0	0.8409909	0.8995468	0.7043605	4	4
77526419	2421671271	Content	1	2	5	0	0.839892447	0.8963585	0.708138347	8	8
77526419	442735324	Content	1	2	5	0	0.839892447	0.8963585	0.708138347	7	7
77526419	192919517	Content	1	2	5	0	0.839892447	0.8963585	0.708138347	9	9
77526419	2331720681	Content	1	2	5	0	0.8409909	0.8995468	0.7043605	6	6
77526419	2325599695	Content	1	2	5	0	0.8409909	0.8995468	0.7043605	5	5
77526419	2277105986	Content	1	2	5	0	0.839892447	0.8963585	0.708138347	10	10
77526419	1989667932	Content	1	2	5	0	0.8409909	0.8995468	0.7043605	2	2
77526419	2013230033	Content	1	2	5	0	0.8409909	0.8995468	0.7043605	3	3
77526419	2105995853	Content	1	2	5	0	0.8409909	0.8995468	0.7043605	1	1
84745921	2353073543	Content	4	1	1	0	0.7829243	0.906596959	0.494354665	4	4
84745921	1899511244	Content	4	1	1	0	0.7846135	0.8998373	0.5157579	3	3
84745921	9829552	Content	3	3	3	0	0.802615941	0.9187119	0.5317253	1	1
84745921	270431769	Content	3	3	3	0	0.800280154	0.9219346	0.5164197	2	2
84745921	1558176953	Content	3	3	3	0	0.7515515	0.8869165	0.43569985	8	8
84745921	2406223031	Content	3	3	3	0	0.7654593	0.892193139	0.469746947	6	6
84745921	115908453	Content	2	7	7	0	0.7732016	0.886527061	0.508775532	5	5
84745921	76415499	Content	2	7	7						
84745921	2096506606	Content	2	7	7	0	0.7533705	0.8984339	0.414889246	7	7
84745921	45379705	Content	1	10	10						
85988948	2115721886	Behavior	5	1	1	12	0.9713379	0	0	5	5
85988948	204852497	Behavior	5	1	1	10	0.9403985	0	0	7	7
85988948	144720637	Behavior	5	1	1	9	0.9160092	0	0	10	10
85988948	2100578078	Behavior	5	1	1	12	0.9713379	0	0	4	4
85988948	2105251515	Behavior	5	1	1	10	0.9403985	0	0	6	6
85988948	2109831181	Behavior	4	6	8	9	0.9160092	0	0	8	8
85988948	2130607791	Behavior	3	7	11	15	0.9910069	0	0	1	1
85988948	2116502454	Behavior	2	8	16	9	0.9160092	0	0	9	9
85988948	1980365852	Behavior	2	8	16	13	0.980417132	0	0	2	2
85988948	2171144711	Behavior	2	8	16	13	0.980417132	0	0	3	3
85988948	2118848285	Content	5	1	1	0	0.728396833	0.9045395	0.3173972	9	
85988948	2425426841	Content	5	1	1	0	0.7357076	0.896342456	0.360892922	4	
85988948	240199293	Content	4	3	8	0	0.7562599	0.9308884	0.348793358	1	
85988948	2157098039	Content	4	3	8	0	0.72853	0.898097	0.332873672	8	
85988948	2275184789	Content	3	5	11	0	0.7226086	0.9001512	0.308342576	10	
85988948	2078629215	Content	3	5	11	0	0.738458633	0.892843	0.378228456	3	
85988948	286300890	Content	3	5	11	0	0.728813648	0.9039711	0.320113	7	
85988948	2251235149	Content	3	5	11	0	0.729921	0.8942007	0.346601784	6	
85988948	2773498419	Content	2	9	16	0	0.7457102	0.9186829	0.3421072	2	
85988948	2497880738	Content	2	9	16	0	0.731599867	0.938411355	0.24903965	5	
90116979	79519031	Content	5	1	1	0	0.7800381	0.8572447	0.5998895	1	1
90116979	2335022	Content	5	1	1	0	0.7018324	0.7844433	0.5090736	10	10
90116979	2305535044	Content	4	3	3	0	0.714912951	0.8559833	0.385748744	9	9
90116979	88157506	Content	4	3	3	0	0.7507714	0.82376045	0.580463648	5	5
90116979	2514405772	Content	4	3	3						
90116979	2501285533	Content	3	6	6	0	0.756301045	0.814752042	0.619915366	2	2
90116979	2539859881	Content	3	6	6	0	0.74177897	0.8365125	0.5207341	6	6
90116979	2802438312	Content	3	6	6	0	0.730943263	0.7439707	0.7005459	8	8
90116979	2406651324	Content	2	9	9	0	0.755970359	0.7906707	0.6750028	4	4
90116979	2383543898	Content	2	9	9	0	0.7330575	0.785234	0.6113124	7	7
98131040	133315466	Content	5	1	1	0	0.771278858	0.848244548	0.5916923	2	2
98131040	204886091	Content	3	2	2	0	0.7405342	0.8052757	0.5894706	5	5
98131040	17458230	Content	3	2	2	0	0.7373033	0.8458169	0.484104961	6	6
98131040	1551673055	Content	3	2	2	0	0.75805	0.8084197	0.6405208	4	4
98131040	1975276861	Content	3	2	2	0	0.787547946	0.8480773	0.6463127	1	1
98131040	2003127764	Content	3	2	2	0	0.7160186	0.8345418	0.43946448	10	10
98131040	2084738937	Content	3	2	2	0	0.7649604	0.8343394	0.6030761	3	3
98131040	2183872147	Content	2	8	8	0	0.7278627	0.84127903	0.463224739	8	8
98131040	116504078	Content	1	9	9	0	0.720980346	0.8739398	0.364074856	9	9
98131040	2816588295	Content	1	9	9	0	0.731342435	0.823071957	0.5173069	7	7
105235566	1009450954	Behavior	5	1	1	2	0.6157376	0	0	8	
105235566	217932999	Behavior	5	1	1	2	0.6157376	0	0	4	
105235566	2060108923	Behavior	4	3	6	3	0.6550128	0	0	2	
105235566	2144244295	Behavior	4	3	6	2	0.6157376	0	0	7	
105235566	2148692373	Behavior	4	3	6	2	0.6157376	0	0	9	
105235566	2046317813	Behavior	3	6	13	2	0.6157376	0	0	6	
105235566	1963844140	Behavior	2	7	15	2	0.6157376	0	0	3	
105235566	1586100143	Behavior	1	8	17	2	0.6157376	0	0	10	
105235566	1972154019	Behavior	1	8	17	3	0.6550128	0	0	1	
105235566	2113642685	Behavior	1	8	17	2	0.6157376	0	0	5	
105235566	1540050760	Content	5	1	1	0	0.7639087	0.9447975	0.3418347	7	7
105235566	2405007180	Content	5	1	1	0	0.7754507	0.9205167	0.43696323	5	5
105235566	2124647430	Content	5	1	1	0	0.945434	0.9888726	0.84407717	1	1
105235566	2096196381	Content	4	4	6	0	0.7944697	0.9484462	0.435191184	2	2
105235566	2099082207	Content	4	4	6	0	0.755933	0.9267164	0.3574383	9	9
105235566	1910023617	Content	4	4	6	0	0.770481765	0.9311113	0.395679533	6	6
105235566	2342907428	Content	4	4	6	0	0.747662067	0.932015	0.317505151	10	10
105235566	2126653477	Content	3	8	13	0	0.778520942	0.941955	0.3971749	3	3
105235566	2082969257	Content	2	9	15	0	0.7768645	0.9278554	0.42455253	4	4
105235566	2179017481	Content	1	10	17	0	0.7571831	0.933299661	0.346244365	8	8
109696370	1521197246	Behavior	5	1	1	5	0.75	0	0	3	7
109696370	2079705627	Behavior	5	1	1	4	0.7006562	0	0	6	
109696370	1955967056	Behavior	5	1	1	4	0.7006562	0	0	7	
109696370	2164071215	Behavior	5	1	1	7	0.8449872	0	0	1	1
109696370	2053885701	Behavior	4	5	11	4	0.7006562	0	0	5	
109696370	2105724942	Behavior	4	5	11	6	0.7993438	0	0	2	2
109696370	2115318789	Behavior	4	5	11	3	0.6550128	0	0	9	
109696370	2028932986	Behavior	2	8	17	4	0.7006562	0	0	4	
109696370	1511986666	Behavior	1	9	18	3	0.6550128	0	0	8	
109696370	2010824638	Behavior	1	9	18	3	0.6550128	0	0	10	
109696370	1553284371	Content	5	1	1	0	0.725931466	0.9207267	0.2714093	5	8
109696370	100809012	Content	5	1	1	0	0.761202335	0.9269723	0.374405652	2	4
109696370	2582655623	Content	5	1	1	0	0.753248453	0.933177054	0.333415121	4	6
109696370	1651953046	Content	5	1	1	0	0.7602747	0.9214469	0.3842063	3	5
109696370	2524409436	Content	5	1	1	0	0.722961	0.921716869	0.259197265	6	9
109696370	2000134594	Content	5	1	1	0	0.7740287	0.917529643	0.439193249	1	3
109696370	2740844278	Content	4	7	11	0	0.7124305	0.9094641	0.2526853	10	
109696370	92031474	Content	4	7	11	0	0.7184306	0.932672262	0.2185333	7	10
109696370	2019226560	Content	3	9	16	0	0.716485858	0.903198659	0.280822724	9	
109696370	2076944648	Content	1	10	18	0	0.717365444	0.91902405	0.246828675	8	
151233500	197231024	Content	3	1	1	0	0.699176669	0.841177046	0.367842466	5	5
151233500	2375281597	Content	2	2	2	0	0.690670967	0.8093807	0.4136816	7	7
151233500	2486438286	Content	2	2	2	0	0.6856888	0.8547883	0.291123241	10	10
151233500	279726911	Content	2	2	2	0	0.759281158	0.8154426	0.628237844	1	1
151233500	2077232610	Content	2	2	2	0	0.7116995	0.861644566	0.3618276	4	4
151233500	577989152	Content	2	2	2	0	0.7120467	0.810624838	0.482031018	3	3
151233500	2608127727	Content	2	2	2	0	0.693031847	0.825277746	0.384458154	6	6
151233500	2376695559	Content	2	2	2	0	0.6869311	0.8212521	0.373515338	9	9
151233500	2505442197	Content	2	2	2	0	0.6890324	0.830428064	0.359109044	8	8
151233500	2510796155	Content	1	10	10	0	0.735937536	0.8187851	0.54262656	2	2
151907100	1920644729	Behavior	5	1	1	6	0.7993438	0	0	6	
151907100	1519752265	Behavior	5	1	1	6	0.7993438	0	0	3	
151907100	2134876510	Behavior	5	1	1	8	0.8842624	0	0	1	2
151907100	2016758618	Behavior	4	4	9	6	0.7993438	0	0	5	
151907100	2102309404	Behavior	4	4	9	4	0.7006562	0	0	9	
151907100	2125321460	Behavior	3	6	13	6	0.7993438	0	0	4	
151907100	1502629466	Behavior	3	6	13	6	0.7993438	0	0	2	
151907100	2167679350	Behavior	3	6	13	5	0.75	0	0	8	
151907100	2109807565	Behavior	1	9	19	4	0.7006562	0	0	10	
151907100	2072001200	Behavior	1	9	19	6	0.7993438	0	0	7	
151907100	2391011192	Content	5	1	1	0	0.8721733	0.944731057	0.702872	3	4
151907100	814687735	Content	5	1	1	0	0.8382802	0.9256027	0.6345278	9	10
151907100	2142092873	Content	5	1	1	0	0.848485	0.940760136	0.6331764	8	9
151907100	1982201307	Content	5	1	1	0	0.9231241	0.9667713	0.8212806	1	1
151907100	2545191987	Content	5	1	1						
151907100	2594691757	Content	4	6	9	0	0.852904439	0.944437265	0.6393278	6	7
151907100	1501164587	Content	4	6	9	0	0.8643999	0.9339789	0.702048838	4	5
151907100	2854188941	Content	3	8	13	0	0.8279966	0.908884168	0.6392589	10	
151907100	2129792718	Content	3	8	13	0	0.85173136	0.906409144	0.724149942	7	8
151907100	2354849088	Content	2	10	18	0	0.8753009	0.932111561	0.7427427	2	3
152346750	1984116073	Behavior	5	1	1	3	0.6550128	0	0	4	4
152346750	1794174336	Behavior	5	1	1	3	0.6550128	0	0	10	10
152346750	2088687427	Behavior	5	1	1	4	0.7006562	0	0	2	2
152346750	167093911	Behavior	4	4	4	3	0.6550128	0	0	9	9
152346750	2114896543	Behavior	4	4	4	3	0.6550128	0	0	6	6
152346750	2119208045	Behavior	4	4	4	4	0.7006562	0	0	1	1
152346750	2017194553	Behavior	4	4	4	3	0.6550128	0	0	8	8
152346750	2173213060	Behavior	4	4	4	3	0.6550128	0	0	3	3
152346750	2125816831	Behavior	2	9	10	3	0.6550128	0	0	7	7
152346750	2114303224	Behavior	1	10	17	3	0.6550128	0	0	5	5
152346750	2754576153	Content	3	1	9						
152346750	2121145098	Content	2	2	10	0	0.60402447	0.7881127	0.1744852	3	
152346750	2057187786	Content	2	2	10	0	0.5804733	0.7826393	0.1087525	8	
152346750	2144450236	Content	2	2	10	0	0.5763897	0.76989156	0.124885172	9	
152346750	119023189	Content	2	2	10	0	0.5984812	0.777227044	0.181407392	4	
152346750	1898792937	Content	2	2	10	0	0.592148364	0.771319568	0.174082309	5	
152346750	2171872029	Content	2	2	10	0	0.5812684	0.764463842	0.153812408	7	
152346750	2823156349	Content	1	8	17	0	0.613186061	0.776153862	0.2329278	1	
152346750	2038924755	Content	1	8	17	0	0.5755944	0.764154553	0.135620713	10	
152346750	2261848058	Content	1	8	17	0	0.5862245	0.774155557	0.147718608	6	
375698802	1535601216	Content	5	1	1						
375698802	2101936540	Content	5	1	1						
375698802	1515564340	Content	5	1	1						
375698802	2083374362	Content	4	4	4						
375698802	1555543510	Content	4	4	4						
375698802	1837022938	Content	4	4	4						
375698802	2011353919	Content	4	4	4						
375698802	1664409704	Content	4	4	4						
375698802	2117501670	Content	4	4	4						
375698802	654726036	Content	3	10	10						
647029926	2040210405	Behavior	5	1	1	2	0.6157376	0	0	7	
647029926	2133113868	Behavior	5	1	1	2	0.6157376	0	0	6	
647029926	1980800818	Behavior	5	1	1	2	0.6157376	0	0	1	
647029926	1997546092	Behavior	5	1	1	2	0.6157376	0	0	4	
647029926	1988160443	Behavior	5	1	1	2	0.6157376	0	0	2	
647029926	2151185692	Behavior	4	6	6	2	0.6157376	0	0	10	
647029926	1934458198	Behavior	4	6	6	2	0.6157376	0	0	8	
647029926	1519539754	Behavior	2	9	18	2	0.6157376	0	0	5	
647029926	2048702750	Behavior				2	0.6157376	0	0	9	
647029926	2112968990	Both	4	1	6	0	0.7316351	0.9180219	0.296732455	2	2
647029926	105048401	Content	4	1	6	0	0.7354086	0.916711867	0.312367618	1	1
647029926	2185479247	Content	4	1	6	0	0.711534441	0.9025557	0.265818119	10	10
647029926	1498490522	Content	4	1	6	0	0.7122664	0.9052061	0.262073666	9	9
647029926	2255134469	Content	4	1	6	0	0.722184956	0.905114233	0.2953499	3	3
647029926	2317698657	Content	4	1	6	0	0.717060745	0.9021473	0.285192221	5	5
647029926	2561787681	Content	3	7	15	0	0.7139841	0.918736935	0.236227319	7	7
647029926	2765965559	Content	3	7	15	0	0.717844844	0.9266141	0.230716571	4	4
647029926	2767115056	Content	3	7	15	0	0.714086652	0.906565249	0.264969826	6	6
647029926	97586755	Content	2	10	18	0	0.7134196	0.91146487	0.251314074	8	8
1454163875	2786851787	Content	2	1	1	0	0.7722055	0.8716133	0.540253758	1	1
1454163875	2500748797	Content	2	1	1						
1454163875	2352479970	Content	2	1	1	0	0.7563777	0.8535898	0.5295494	4	4
1454163875	2233152822	Content	2	1	1	0	0.7646472	0.8764674	0.503733337	3	3
1454163875	2366089615	Content	2	1	1	0	0.74551475	0.8605016	0.4772122	8	8
1454163875	2385956489	Content	2	1	1	0	0.765192747	0.866608	0.528557	2	2
1454163875	2377869041	Content	2	1	1	0	0.7484673	0.86409837	0.478661478	6	6
1454163875	2484420407	Content	2	1	1	0	0.7472481	0.857748568	0.489413649	7	7
